entity_id,company_name,domain,score,score_reasons,final_industry,final_employee_count,country,contact_name,contact_title,email,hiring_now,recent_funding_months_ago,tech_signals,revenue_band,enrichment_status,enrichment_reason,enrichment_attempts,source_record_count,source_row_numbers
mosaicpayments-com,"MOSAIC,PAYMENTS LTD.",mosaicpayments.com,60,small_company;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Construction,8,CA,,,info@mosaic.com,True,,"gcp,stripe",$50M-$250M,success,,1,2,"406,421"
pinecrestmediapart-com,PINECREST MEDIA PARTNERS CORP,pinecrestmediapart.com,60,small_company;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Hospitality,8,India,,,info@pinecrest.com,True,,"python,datadog,salesforce,azure",$1M-$10M,success,,1,3,"57,148,382"
umbraopticsholding-com,Umbra Optics Holdings Corp,umbraopticsholding.com,60,ideal_employee_range;target_industry;valid_contact_email;valid_domain,Healthcare,750,United States,,,info@umbra.com,False,14,segment,$1M-$10M,success,,1,1,360
xenonlabsinternati-com,"Xenon,Labs International Ltd.",xenonlabsinternati.com,60,small_company;target_industry;recent_funding;valid_contact_email;valid_domain;multiple_source_mentions,Education,24,United States,,,info@xenon.com,False,3,,$1M-$10M,success,,1,2,"337,349"
acorneducationinte-com,acorn education international ltd.,acorneducationinte.com,57,large_company;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Insurance,4200,DE,,,info@acorn.com,False,3,"hubspot,kubernetes,stripe,datadog",$10M-$50M,success,,1,2,"84,275"
tidelinefinanceint-com,Tideline Finance International Ltd.,tidelinefinanceint.com,57,ideal_employee_range;active_hiring_signal;valid_domain,Media,140,Germany,,,,True,26,,$1M-$10M,success,,1,1,166
tidelinefinancepar-com,"Tideline,Finance Partners Inc.",tidelinefinancepar.com,57,large_company;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Logistics,4200,India,,,info@tideline.com,False,7,"salesforce,hubspot,azure,segment",$250M+,success,,1,2,"160,213"
yarrowtextilesgrou-com,YARROW TEXTILES GROUP CORP,yarrowtextilesgrou.com,57,small_company;target_industry;active_hiring_signal;valid_domain,Software,8,United Kingdom,,,,True,,,$50M-$250M,success,,1,1,70
cobalttelecominter-com,Cobalt Telecom International Inc.,cobalttelecominter.com,55,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Hospitality,320,Australia,,,info@cobalt.com,False,,"react,kubernetes",$1M-$10M,success,,2,2,"191,183"
emberhospitalityin-com,Ember Hospitality International LLC,emberhospitalityin.com,55,small_company;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain,Logistics,8,United States,,,info@ember.com,True,,"aws,snowflake",$10M-$50M,success,,1,1,334
foxgloveenergygrou-com,Foxglove Energy Group Co,foxgloveenergygrou.com,55,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Telecom,1500,DE,,,info@foxglove.com,False,,salesforce,$50M-$250M,success,,1,2,"6,484"
graniteinsuranceho-com,GRANITE INSURANCE HOLDINGS,graniteinsuranceho.com,55,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Construction,1500,United States,,,info@granite.com,False,14,"snowflake,stripe,salesforce",<$1M,success,,1,3,"34,42,257"
graniteinsurancepa-com,Granite Insurance Partners Corp,graniteinsurancepa.com,55,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Hospitality,1500,Australia,,,info@granite.com,False,14,"python,datadog,gcp,segment",<$1M,success,,1,2,"11,232"
halcyonpharmagloba-com,Halcyon Pharma Global Inc,halcyonpharmagloba.com,55,ideal_employee_range;target_industry;valid_contact_email;valid_domain;multiple_source_mentions;enrichment_incomplete,Healthcare,125,Germany,,,info@halcyon.com,,,,,not_found,provider_404,1,3,"200,310,411"
halcyonpharmainter-com,Halcyon Pharma International Inc.,halcyonpharmainter.com,55,small_company;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain,Hospitality,24,United Kingdom,,,info@halcyon.com,True,26,"segment,hubspot",$50M-$250M,success,,1,1,209
larkspurtoyspartne-com,Larkspur Toys Partners LLC,larkspurtoyspartne.com,55,small_company;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain,Telecom,24,CA,,,info@larkspur.com,True,,"segment,azure",<$1M,success,,1,1,260
meridiantravelgrou-com,"Meridian,Travel Group",meridiantravelgrou.com,55,ideal_employee_range;recent_funding;valid_contact_email;valid_domain,Construction,140,India,,,info@meridian.com,False,7,snowflake,$50M-$250M,success,,1,1,477
sterlingroboticsgr-com,Sterling Robotics Group Incorporated,sterlingroboticsgr.com,55,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Insurance,60,U.S.A.,,,info@sterling.com,False,14,"react,python",$10M-$50M,success,,1,3,"22,249,355"
umbraoptics-com,UMBRA OPTICS CO,umbraoptics.com,55,ideal_employee_range;target_industry;valid_contact_email;valid_domain;multiple_source_mentions;enrichment_incomplete,Education,260,U.S.A.,,,info@umbra.com,,,,,not_found,provider_404,1,2,"150,239"
umbraopticsgroup-com,Umbra Optics Group Corp,umbraopticsgroup.com,55,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Logistics,60,United States,,,info@umbra.com,False,14,salesforce,$250M+,success,,1,2,"49,315"
verdantlandscaping-com,Verdant Landscaping LLC,verdantlandscaping.com,55,ideal_employee_range;target_industry;valid_contact_email;valid_domain;multiple_source_mentions;enrichment_incomplete,Software,450,CA,,,info@verdant.com,,,,,not_found,provider_404,1,13,"27,99,107,165,215,264,306,317,346,381,401,425,483"
willowchildcare-com,Willow Childcare Incorporated,willowchildcare.com,55,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Construction,1500,Canada,,,info@willow.com,False,,"kubernetes,datadog,gcp,hubspot",$10M-$50M,success,,1,4,"197,227,262,261"
zephyrdronesgroup-com,ZEPHYR DRONES GROUP INCORPORATED,zephyrdronesgroup.com,55,small_company;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain,Telecom,24,,,,info@zephyr.com,True,14,"datadog,aws,python,salesforce",<$1M,success,,1,1,369
zephyrdrones-com,Zephyr Drones Inc,zephyrdrones.com,55,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Hospitality,320,Australia,,,info@zephyr.com,False,14,"segment,python",<$1M,success,,1,2,"348,383"
zephyrdronespartne-com,ZEPHYR DRONES PARTNERS INC,zephyrdronespartne.com,55,small_company;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain,Energy,8,United States,,,info@zephyr.com,True,14,"react,python,aws",$1M-$10M,success,,1,1,278
quartzlegalpartner-com,Quartz Legal Partners Incorporated,quartzlegalpartner.com,54,large_company;target_industry;recent_funding;valid_domain,Retail,4200,United States,,,,False,7,,<$1M,success,,1,1,471
cedarsystems-com,Cedar Systems,cedarsystems.com,52,large_company;target_industry;valid_contact_email;valid_domain;multiple_source_mentions,Education,4200,Germany,,,info@cedar.com,False,26,,$10M-$50M,success,,1,4,"68,204,284,434"
kestrelsecuritygro-com,Kestrel Security Group LLC,kestrelsecuritygro.com,52,large_company;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,Energy,4200,,,,info@kestrel.com,False,3,"kubernetes,datadog,azure",$1M-$10M,success,,1,1,362
onyxminingpartners-com,Onyx Mining Partners Co.,onyxminingpartners.com,52,ideal_employee_range;target_industry;valid_domain,Healthcare,140,United States,,,,False,,,$250M+,success,,2,1,358
anchormarine-com,Anchor Marine Ltd.,anchormarine.com,50,small_company;active_hiring_signal;valid_contact_email;valid_domain;multiple_source_mentions,Logistics,24,U.S.A.,,,info@anchor.com,True,,kubernetes,$10M-$50M,success,,1,3,"224,266,372"
birchfurnitureglob-com,BIRCH FURNITURE GLOBAL CORP,birchfurnitureglob.com,50,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain,Gaming,1500,,,,info@birch.com,False,14,"python,kubernetes",$10M-$50M,success,,1,1,389
cobalttelecomgloba-com,Cobalt Telecom Global LLC,cobalttelecomgloba.com,50,small_company;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Hospitality,8,United Kingdom,,,info@cobalt.com,False,7,"segment,gcp",$250M+,success,,1,3,"312,392,398"
emberhospitalitypa-com,Ember Hospitality Partners Corp,emberhospitalitypa.com,50,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain,Pharmaceuticals,750,United States,,,info@ember.com,False,26,"stripe,aws,datadog,react",<$1M,success,,1,1,140
emberhospitality-com,"ember,hospitality ltd",emberhospitality.com,50,small_company;active_hiring_signal;valid_contact_email;valid_domain;multiple_source_mentions,Insurance,24,CA,,,info@ember.com,True,26,,$250M+,success,,1,4,"94,169,286,299"
ironwoodagritechho-com,"IRONWOOD,AGRITECH HOLDINGS INC.",ironwoodagritechho.com,50,small_company;active_hiring_signal;valid_contact_email;valid_domain;multiple_source_mentions,Energy,8,Australia,,,info@ironwood.com,True,,,<$1M,success,,1,5,"2,152,187,332,386"
larkspurtoysholdin-com,larkspur toys holdings ltd,larkspurtoysholdin.com,50,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain,Logistics,320,CA,,,info@larkspur.com,False,14,react,$1M-$10M,success,,1,1,76
larkspurtoysglobal-com,"Larkspur,Toys Global Ltd",larkspurtoysglobal.com,50,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain,Energy,60,United States,,,info@larkspur.com,False,,"kubernetes,azure,segment",<$1M,success,,1,1,320
lumenretailgroup-com,Lumen Retail Group Incorporated,lumenretailgroup.com,50,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain,Logistics,140,India,,,info@lumen.com,False,,"kubernetes,python,datadog",$10M-$50M,success,,1,1,395
lumenretailinterna-com,LUMEN RETAIL INTERNATIONAL INC,lumenretailinterna.com,50,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain,Energy,60,India,,,info@lumen.com,False,,"salesforce,snowflake,react",$250M+,success,,1,1,330
meridiantravelinte-com,Meridian Travel International Inc.,meridiantravelinte.com,50,small_company;target_industry;relevant_tech_stack;valid_contact_email;valid_domain,Finance,24,,,,info@meridian.com,False,14,"react,aws,salesforce,hubspot",<$1M,success,,1,1,293
nimbuscloudgroup-com,"NIMBUS,CLOUD GROUP CORP",nimbuscloudgroup.com,50,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain,Gaming,750,India,,,info@nimbus.com,False,,"aws,datadog,snowflake",<$1M,success,,1,1,199
petalcosmeticsinte-com,Petal Cosmetics International Inc,petalcosmeticsinte.com,50,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain,Pharmaceuticals,320,CA,,,info@petal.com,False,14,"aws,azure",<$1M,success,,1,1,58
petalcosmeticsgrou-com,"Petal,Cosmetics Group Corp",petalcosmeticsgrou.com,50,small_company;target_industry;relevant_tech_stack;valid_contact_email;valid_domain,Manufacturing,24,U.S.A.,,,info@petal.com,False,26,"salesforce,hubspot,snowflake,python",$50M-$250M,success,,1,1,120
thicketgaminggloba-com,"Thicket,Gaming Global Inc",thicketgaminggloba.com,50,ideal_employee_range;relevant_tech_stack;valid_contact_email;valid_domain,Logistics,750,,,,info@thicket.com,False,,"datadog,gcp,kubernetes,aws",<$1M,success,,1,1,364
halcyonpharmaholdi-com,"Halcyon,Pharma Holdings Inc.",halcyonpharmaholdi.com,47,ideal_employee_range;relevant_tech_stack;valid_domain;multiple_source_mentions,Pharmaceuticals,60,India,,,,False,14,"react,hubspot,gcp",$10M-$50M,success,,1,2,"85,390"
sterlingroboticsin-com,Sterling Robotics International Ltd,sterlingroboticsin.com,47,large_company;target_industry;valid_contact_email;valid_domain,Software,4200,,,,info@sterling.com,False,,,,success,,1,1,234
tidelinefinanceglo-com,Tideline Finance Global Inc.,tidelinefinanceglo.com,47,small_company;target_industry;recent_funding;valid_domain,Education,8,,,,,False,3,"kubernetes,snowflake",<$1M,success,,2,1,376
ghostdomain-com,,ghostdomain.com,45,small_company;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,Pharmaceuticals,24,United States,,,info@ghost.com,False,3,"react,snowflake,salesforce",$1M-$10M,success,,2,1,464
acorneducationpart-com,acorn education partners corp,acorneducationpart.com,45,small_company;target_industry;valid_contact_email;valid_domain;multiple_source_mentions,Education,24,India,,,info@acorn.com,False,,stripe,$250M+,success,,2,2,"18,377"
anchormarinegroup-com,Anchor Marine Group Inc.,anchormarinegroup.com,45,small_company;active_hiring_signal;valid_contact_email;valid_domain,Insurance,8,Germany,,,info@anchor.com,True,14,,$1M-$10M,success,,1,1,374
cedarsystemsglobal-com,Cedar Systems Global Ltd,cedarsystemsglobal.com,45,small_company;target_industry;valid_contact_email;valid_domain;multiple_source_mentions,Education,8,DE,,,info@cedar.com,False,,,<$1M,success,,1,2,"44,380"
graniteinsurancegr-com,Granite Insurance Group Incorporated,graniteinsurancegr.com,45,ideal_employee_range;valid_contact_email;valid_domain;multiple_source_mentions,Logistics,750,Germany,,,info@granite.com,False,26,,$50M-$250M,success,,1,2,"344,453"
harborhealthgroup-com,Harbor Health Group,harborhealthgroup.com,45,ideal_employee_range;valid_contact_email;valid_domain;multiple_source_mentions,Insurance,140,United States,,,info@harbor.com,False,26,,,success,,1,2,"219,276"
meridiantravel-com,Meridian Travel Corp,meridiantravel.com,45,ideal_employee_range;valid_contact_email;valid_domain;multiple_source_mentions,Insurance,140,Germany,,,info@meridian.com,False,,,$1M-$10M,success,,1,4,"79,180,373,426"
nimbuscloudpartner-com,"NIMBUS,CLOUD PARTNERS INCORPORATED",nimbuscloudpartner.com,45,small_company;active_hiring_signal;valid_contact_email;valid_domain,Energy,8,Canada,,,info@nimbus.com,True,,,$1M-$10M,success,,1,1,5
quillsoftwareholdi-com,quill software holdings ltd,quillsoftwareholdi.com,45,ideal_employee_range;valid_contact_email;valid_domain;multiple_source_mentions,Telecom,320,United States,,,info@quill.com,False,26,,$250M+,success,,1,2,"153,292"
thicketgaminginter-com,"Thicket,Gaming International Corp",thicketgaminginter.com,45,ideal_employee_range;valid_contact_email;valid_domain;multiple_source_mentions,Gaming,140,U.S.A.,,,info@thicket.com,False,,,$10M-$50M,success,,1,2,"13,427"
yarrowtextilespart-com,"Yarrow,Textiles Partners Co.",yarrowtextilespart.com,45,small_company;target_industry;valid_contact_email;valid_domain;multiple_source_mentions,Education,24,United States,,,info@yarrow.com,False,26,,$250M+,success,,1,3,"87,122,439"
kestrelsecurityhol-com,Kestrel Security Holdings LLC,kestrelsecurityhol.com,44,large_company;active_hiring_signal;valid_domain,Pharmaceuticals,4200,Germany,,,,True,,,<$1M,success,,1,1,451
saffron-spices-international,Saffron Spices International Ltd,,43,ideal_employee_range;target_industry;valid_contact_email;enrichment_incomplete,Finance,350,Canada,,,info@saffron.com,,,,,skipped,missing_domain,0,1,126
birchfurnituregrou-com,BIRCH FURNITURE GROUP CO.,birchfurnituregrou.com,42,large_company;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Hospitality,4200,India,,,info@birch.com,False,,"react,segment",<$1M,success,,1,3,"74,305,73"
driftapparelglobal-com,Drift Apparel Global Incorporated,driftapparelglobal.com,42,ideal_employee_range;relevant_tech_stack;valid_domain,Telecom,320,United Kingdom,,,,False,,"gcp,hubspot",$50M-$250M,success,,1,1,423
larkspurtoys-com,LARKSPUR TOYS LTD.,larkspurtoys.com,42,large_company;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Logistics,4200,DE,,,info@larkspur.com,False,,aws,$10M-$50M,success,,2,4,"53,228,410,443"
lumenretailglobal-com,"Lumen,Retail Global Inc.",lumenretailglobal.com,42,large_company;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Media,4200,United Kingdom,,,info@lumen.com,False,,"kubernetes,python,stripe,salesforce",$50M-$250M,success,,1,3,"90,244,393"
strayholdings-com,Stray Holdings LLC,strayholdings.com,42,ideal_employee_range;relevant_tech_stack;valid_domain,Insurance,60,United States,,,,False,,"python,snowflake",$1M-$10M,success,,2,1,485
vantafoods-com,"vanta,foods incorporated",vantafoods.com,42,ideal_employee_range;relevant_tech_stack;valid_domain,Telecom,140,United States,,,,False,14,"snowflake,azure,python,hubspot",$1M-$10M,success,,1,1,402
acorneducationgrou-com,ACORN EDUCATION GROUP INC.,acorneducationgrou.com,40,small_company;recent_funding;valid_contact_email;valid_domain;multiple_source_mentions,Energy,8,,,,info@acorn.com,False,3,,$1M-$10M,success,,2,3,"258,448,474"
halcyonpharma-com,Halcyon Pharma Corp,halcyonpharma.com,40,small_company;recent_funding;valid_contact_email;valid_domain;multiple_source_mentions,Media,8,United States,,,info@halcyon.com,False,7,,,success,,1,3,"111,241,295"
larkspurtoysgroup-com,Larkspur Toys Group LLC,larkspurtoysgroup.com,40,small_company;target_industry;valid_contact_email;valid_domain,Finance,8,DE,,,info@larkspur.com,False,,,$1M-$10M,success,,1,1,17
meridiantravelhold-com,Meridian Travel Holdings Co,meridiantravelhold.com,40,ideal_employee_range;valid_contact_email;valid_domain,Media,1500,United Kingdom,,,info@meridian.com,False,26,"datadog,segment",$50M-$250M,success,,1,1,88
mosaicpaymentsglob-com,Mosaic Payments Global,mosaicpaymentsglob.com,40,ideal_employee_range;valid_contact_email;valid_domain,Construction,1500,CA,,,info@mosaic.com,False,,kubernetes,$250M+,success,,1,1,154
pinecrestmediainte-com,"Pinecrest,Media International Ltd.",pinecrestmediainte.com,40,ideal_employee_range;valid_contact_email;valid_domain,Insurance,60,United States,,,info@pinecrest.com,False,14,,$1M-$10M,success,,1,1,316
rivethardwareholdi-com,Rivet Hardware Holdings Co,rivethardwareholdi.com,40,ideal_employee_range;valid_contact_email;valid_domain,Insurance,320,CA,,,info@rivet.com,False,26,kubernetes,$250M+,success,,1,1,218
umbraopticsglobal-com,Umbra Optics Global Co.,umbraopticsglobal.com,40,ideal_employee_range;valid_contact_email;valid_domain,Hospitality,1500,DE,,,info@umbra.com,False,,,<$1M,success,,1,1,336
zephyrdronesglobal-com,"Zephyr,Drones Global LLC",zephyrdronesglobal.com,40,ideal_employee_range;valid_contact_email;valid_domain,Hospitality,750,United Kingdom,,,info@zephyr.com,False,14,"kubernetes,snowflake",<$1M,success,,1,1,31
anchormarinepartne-com,Anchor Marine Partners Incorporated,anchormarinepartne.com,37,small_company;active_hiring_signal;valid_domain,Construction,24,U.S.A.,,,,True,,kubernetes,<$1M,success,,1,1,101
umbraopticspartner-com,"Umbra,Optics Partners",umbraopticspartner.com,37,large_company;relevant_tech_stack;valid_contact_email;valid_domain,Telecom,4200,,,,info@umbra.com,False,,"hubspot,azure,salesforce",$50M-$250M,success,,1,1,115
acorneducationglob-com,Acorn Education Global Inc,acorneducationglob.com,35,ideal_employee_range;valid_contact_email;valid_domain;multiple_source_mentions;enrichment_incomplete,Logistics,260,United States,,,info@acorn.com,,,,,not_found,provider_404,1,2,"149,482"
ironwoodagritech-com,ironwood agritech incorporated,ironwoodagritech.com,35,ideal_employee_range;valid_contact_email;valid_domain;multiple_source_mentions;enrichment_incomplete,Hospitality,1200,CA,,,info@ironwood.com,,,,,not_found,provider_404,1,5,"81,192,314,329,446"
ironwoodagritechin-com,"Ironwood,Agritech International Co.",ironwoodagritechin.com,35,ideal_employee_range;valid_contact_email;valid_domain;multiple_source_mentions;enrichment_incomplete,Gaming,145,United States,,,info@ironwood.com,,,,,not_found,provider_404,1,3,"143,347,379"
lumenretailholding-com,Lumen Retail Holdings Co.,lumenretailholding.com,35,small_company;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Logistics,24,CA,,,info@lumen.com,False,,python,$250M+,success,,1,3,"93,194,341"
mosaicpaymentsgrou-com,"Mosaic,Payments Group Inc.",mosaicpaymentsgrou.com,35,small_company;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Media,8,United States,,,info@mosaic.com,False,,"azure,python,snowflake,segment",$10M-$50M,success,,1,2,"98,403"
nimbus-cloud-global-incorporated,Nimbus Cloud Global Incorporated,,35,ideal_employee_range;target_industry;enrichment_incomplete,Healthcare,130,DE,,,,,,,,skipped,missing_domain,0,1,290
onyxmininggroup-com,Onyx Mining Group Ltd,onyxmininggroup.com,35,small_company;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Gaming,8,CA,,,info@onyx.com,False,,aws,$10M-$50M,success,,1,2,"151,267"
quartzlegalinterna-com,Quartz Legal International Inc,quartzlegalinterna.com,35,small_company;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Gaming,8,India,,,info@quartz.com,False,26,"kubernetes,segment,hubspot,react",$1M-$10M,success,,1,2,"97,251"
rivethardware-com,Rivet Hardware Inc.,rivethardware.com,35,small_company;target_industry;valid_contact_email;valid_domain;multiple_source_mentions;enrichment_incomplete,Manufacturing,42,United States,,,info@rivet.com,,,,,not_found,provider_404,1,6,"156,179,207,226,331,388"
saffronspicesgroup-com,Saffron Spices Group Ltd.,saffronspicesgroup.com,35,small_company;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Telecom,8,DE,,,info@saffron.com,False,26,"hubspot,stripe,gcp,kubernetes",<$1M,success,,1,2,"125,359"
thicketgaming-com,Thicket Gaming LLC,thicketgaming.com,35,small_company;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Pharmaceuticals,24,United States,,,info@thicket.com,False,14,"kubernetes,react,gcp,snowflake",$50M-$250M,success,,1,3,"297,353,371"
vantafoodsgroup-com,VANTA FOODS GROUP CO.,vantafoodsgroup.com,35,small_company;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Hospitality,24,Germany,,,info@vanta.com,False,,salesforce,$250M+,success,,2,2,"128,246"
willowchildcarehol-com,Willow Childcare Holdings LLC,willowchildcarehol.com,35,small_company;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Logistics,24,Germany,,,info@willow.com,False,,"gcp,snowflake,datadog,stripe",$50M-$250M,success,,2,3,"368,356,456"
yarrowtextiles-com,yarrow textiles co,yarrowtextiles.com,35,small_company;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Pharmaceuticals,24,DE,,,info@yarrow.com,False,,"kubernetes,segment,python,react",$1M-$10M,success,,1,6,"40,322,391,67,338,444"
anchormarineglobal-com,Anchor Marine Global,anchormarineglobal.com,30,ideal_employee_range;valid_contact_email;valid_domain;enrichment_incomplete,Media,300,,,,info@anchor.com,,,,,not_found,provider_404,2,1,313
birchfurniturehold-com,BIRCH FURNITURE HOLDINGS LTD,birchfurniturehold.com,30,ideal_employee_range;valid_contact_email;valid_domain;enrichment_incomplete,Logistics,245,India,,,info@birch.com,,,,,not_found,provider_404,1,1,103
cedarsystemsholdin-com,"cedar,systems holdings incorporated",cedarsystemsholdin.com,30,small_company;relevant_tech_stack;valid_contact_email;valid_domain,Energy,8,United States,,,info@cedar.com,False,,"kubernetes,gcp,hubspot",$10M-$50M,success,,1,1,146
foxgloveenergyinte-com,Foxglove Energy International,foxgloveenergyinte.com,30,small_company;relevant_tech_stack;valid_contact_email;valid_domain,Construction,24,DE,,,info@foxglove.com,False,,"aws,hubspot,gcp,salesforce",$250M+,success,,1,1,20
kestrelsecuritypar-com,Kestrel Security Partners Co.,kestrelsecuritypar.com,30,small_company;relevant_tech_stack;valid_contact_email;valid_domain,Hospitality,8,Australia,,,info@kestrel.com,False,14,"azure,python,gcp",<$1M,success,,1,1,174
onyxmininginternat-com,Onyx Mining International LLC,onyxmininginternat.com,30,ideal_employee_range;valid_contact_email;valid_domain;enrichment_incomplete,Telecom,150,DE,,,info@onyx.com,,,,,not_found,provider_404,1,1,37
saffronspicesgloba-com,Saffron Spices Global,saffronspicesgloba.com,30,small_company;relevant_tech_stack;valid_contact_email;valid_domain,Insurance,8,United Kingdom,,,info@saffron.com,False,,"stripe,react",$250M+,success,,1,1,265
sterlingroboticsho-com,Sterling Robotics Holdings Co.,sterlingroboticsho.com,30,ideal_employee_range;valid_contact_email;valid_domain;enrichment_incomplete,,350,Germany,,,info@sterling.com,,,,,not_found,provider_404,1,1,473
vantafoodspartners-com,VANTA FOODS PARTNERS CO.,vantafoodspartners.com,30,ideal_employee_range;valid_contact_email;valid_domain;enrichment_incomplete,Telecom,125,United States,,,info@vanta.com,,,,,not_found,provider_404,1,1,32
nimbus-cloud-international,nimbus cloud international inc,,28,ideal_employee_range;valid_contact_email;multiple_source_mentions;enrichment_incomplete,Media,1200,India,,,info@nimbus.com,,,,,skipped,missing_domain,0,2,"205,440"
foxgloveenergypart-com,Foxglove Energy Partners,foxgloveenergypart.com,27,large_company;valid_contact_email;valid_domain,Energy,4200,United States,,,info@foxglove.com,False,14,,$50M-$250M,success,,1,1,89
junipermobilityglo-com,JUNIPER MOBILITY GLOBAL LTD.,junipermobilityglo.com,25,small_company;valid_contact_email;valid_domain;multiple_source_mentions,Hospitality,8,United States,,,info@juniper.com,False,26,,$250M+,success,,1,3,"95,467,442"
nimbuscloud-com,NIMBUS CLOUD LTD.,nimbuscloud.com,25,small_company;valid_contact_email;valid_domain;multiple_source_mentions,Media,8,India,,,info@nimbus.com,False,26,,<$1M,success,,1,4,"39,253,212,309"
quartzlegalholding-com,Quartz Legal Holdings Inc.,quartzlegalholding.com,25,small_company;valid_contact_email;valid_domain;multiple_source_mentions,Hospitality,24,Germany,,,info@quartz.com,False,,,$10M-$50M,success,,1,4,"71,86,130,129"
quartzlegal-com,Quartz Legal Inc.,quartzlegal.com,25,small_company;valid_contact_email;valid_domain;multiple_source_mentions,Gaming,8,United States,,,info@quartz.com,False,14,datadog,$250M+,success,,1,3,"75,114,367"
umbraopticsinterna-com,umbra optics international inc,umbraopticsinterna.com,25,small_company;valid_contact_email;valid_domain;multiple_source_mentions,Logistics,8,Canada,,,info@umbra.com,False,,,$50M-$250M,success,,1,2,"407,428"
drift-apparel-international-incorporated,Drift Apparel International Incorporated,,23,ideal_employee_range;valid_contact_email;enrichment_incomplete,Energy,65,United Kingdom,,,info@drift.com,,,,,skipped,missing_domain,0,1,294
foxglove-energy-incorporated,FOXGLOVE ENERGY INCORPORATED,,23,small_company;target_industry;valid_contact_email;enrichment_incomplete,Software,18,United Kingdom,,,info@foxglove.com,,,,,skipped,missing_domain,0,1,19
larkspur-toys-international-incorporated,Larkspur Toys International Incorporated,,23,ideal_employee_range;valid_contact_email;enrichment_incomplete,Insurance,125,United Kingdom,,,info@larkspur.com,,,,,skipped,missing_domain,0,1,461
meridian-travel-partners,Meridian Travel Partners Ltd.,,23,ideal_employee_range;valid_contact_email;enrichment_incomplete,,87,India,,,info@meridian.com,,,,,skipped,missing_domain,0,1,45
northwind-logistics,Northwind Logistics Group LLC,,23,ideal_employee_range;valid_contact_email;enrichment_incomplete,,130,United States,,,info@northwind.com,,,,,skipped,missing_domain,0,1,343
orbit-manufacturing-incorporated,orbit manufacturing holdings incorporated,,23,ideal_employee_range;valid_contact_email;enrichment_incomplete,,350,,,,info@orbit.com,,,,,skipped,missing_domain,0,1,80
orbit-manufacturing,Orbit Manufacturing Ltd,,23,ideal_employee_range;valid_contact_email;enrichment_incomplete,Hospitality,1000,United Kingdom,,,info@orbit.com,,,,,skipped,missing_domain,0,1,66
rivet-hardware-global,Rivet Hardware Global Inc.,,23,ideal_employee_range;valid_contact_email;enrichment_incomplete,,540,Germany,,,info@rivet.com,,,,,skipped,missing_domain,0,1,142
umbra-optics-incorporated,Umbra Optics Incorporated,,23,small_company;target_industry;valid_contact_email;enrichment_incomplete,Manufacturing,42,Canada,,,info@umbra.com,,,,,skipped,missing_domain,0,1,475
